FID,id,left,top,right,bottom,NUMPOINTS
0,1.000000000000000,-74856.007100000002538,18984.265400000000227,-59856.007100000002538,3984.265400000000227,0.000000000000000
1,2.000000000000000,-74856.007100000002538,3984.265400000000227,-59856.007100000002538,-11015.734599999999773,0.000000000000000
2,3.000000000000000,-74856.007100000002538,-11015.734599999999773,-59856.007100000002538,-26015.734599999999773,2.000000000000000
3,4.000000000000000,-74856.007100000002538,-26015.734599999999773,-59856.007100000002538,-41015.734599999996135,28.000000000000000
4,5.000000000000000,-74856.007100000002538,-41015.734599999996135,-59856.007100000002538,-56015.734599999996135,37.000000000000000
5,6.000000000000000,-74856.007100000002538,-56015.734599999996135,-59856.007100000002538,-71015.734599999996135,5.000000000000000
6,7.000000000000000,-74856.007100000002538,-71015.734599999996135,-59856.007100000002538,-86015.734599999996135,18.000000000000000
7,8.000000000000000,-74856.007100000002538,-86015.734599999996135,-59856.007100000002538,-101015.734599999996135,12.000000000000000
8,9.000000000000000,-74856.007100000002538,-101015.734599999996135,-59856.007100000002538,-116015.734599999996135,3.000000000000000
9,10.000000000000000,-59856.007100000002538,18984.265400000000227,-44856.007100000002538,3984.265400000000227,4.000000000000000
10,11.000000000000000,-59856.007100000002538,3984.265400000000227,-44856.007100000002538,-11015.734599999999773,7.000000000000000
11,12.000000000000000,-59856.007100000002538,-11015.734599999999773,-44856.007100000002538,-26015.734599999999773,28.000000000000000
12,13.000000000000000,-59856.007100000002538,-26015.734599999999773,-44856.007100000002538,-41015.734599999996135,48.000000000000000
13,14.000000000000000,-59856.007100000002538,-41015.734599999996135,-44856.007100000002538,-56015.734599999996135,90.000000000000000
14,15.000000000000000,-59856.007100000002538,-56015.734599999996135,-44856.007100000002538,-71015.734599999996135,33.000000000000000
15,16.000000000000000,-59856.007100000002538,-71015.734599999996135,-44856.007100000002538,-86015.734599999996135,29.000000000000000
16,17.000000000000000,-59856.007100000002538,-86015.734599999996135,-44856.007100000002538,-101015.734599999996135,6.000000000000000
17,18.000000000000000,-59856.007100000002538,-101015.734599999996135,-44856.007100000002538,-116015.734599999996135,0.000000000000000
18,19.000000000000000,-44856.007100000002538,18984.265400000000227,-29856.007100000002538,3984.265400000000227,16.000000000000000
19,20.000000000000000,-44856.007100000002538,3984.265400000000227,-29856.007100000002538,-11015.734599999999773,42.000000000000000
20,21.000000000000000,-44856.007100000002538,-11015.734599999999773,-29856.007100000002538,-26015.734599999999773,72.000000000000000
21,22.000000000000000,-44856.007100000002538,-26015.734599999999773,-29856.007100000002538,-41015.734599999996135,35.000000000000000
22,23.000000000000000,-44856.007100000002538,-41015.734599999996135,-29856.007100000002538,-56015.734599999996135,40.000000000000000
23,24.000000000000000,-44856.007100000002538,-56015.734599999996135,-29856.007100000002538,-71015.734599999996135,25.000000000000000
24,25.000000000000000,-44856.007100000002538,-71015.734599999996135,-29856.007100000002538,-86015.734599999996135,23.000000000000000
25,26.000000000000000,-44856.007100000002538,-86015.734599999996135,-29856.007100000002538,-101015.734599999996135,10.000000000000000
26,27.000000000000000,-44856.007100000002538,-101015.734599999996135,-29856.007100000002538,-116015.734599999996135,0.000000000000000
27,28.000000000000000,-29856.007100000002538,18984.265400000000227,-14856.007100000002538,3984.265400000000227,16.000000000000000
28,29.000000000000000,-29856.007100000002538,3984.265400000000227,-14856.007100000002538,-11015.734599999999773,55.000000000000000
29,30.000000000000000,-29856.007100000002538,-11015.734599999999773,-14856.007100000002538,-26015.734599999999773,96.000000000000000
30,31.000000000000000,-29856.007100000002538,-26015.734599999999773,-14856.007100000002538,-41015.734599999996135,41.000000000000000
31,32.000000000000000,-29856.007100000002538,-41015.734599999996135,-14856.007100000002538,-56015.734599999996135,3.000000000000000
32,33.000000000000000,-29856.007100000002538,-56015.734599999996135,-14856.007100000002538,-71015.734599999996135,2.000000000000000
33,34.000000000000000,-29856.007100000002538,-71015.734599999996135,-14856.007100000002538,-86015.734599999996135,12.000000000000000
34,35.000000000000000,-29856.007100000002538,-86015.734599999996135,-14856.007100000002538,-101015.734599999996135,3.000000000000000
35,36.000000000000000,-29856.007100000002538,-101015.734599999996135,-14856.007100000002538,-116015.734599999996135,0.000000000000000
36,37.000000000000000,-14856.007100000002538,18984.265400000000227,143.992899999997462,3984.265400000000227,6.000000000000000
37,38.000000000000000,-14856.007100000002538,3984.265400000000227,143.992899999997462,-11015.734599999999773,21.000000000000000
38,39.000000000000000,-14856.007100000002538,-11015.734599999999773,143.992899999997462,-26015.734599999999773,60.000000000000000
39,40.000000000000000,-14856.007100000002538,-26015.734599999999773,143.992899999997462,-41015.734599999996135,11.000000000000000
40,41.000000000000000,-14856.007100000002538,-41015.734599999996135,143.992899999997462,-56015.734599999996135,0.000000000000000
41,42.000000000000000,-14856.007100000002538,-56015.734599999996135,143.992899999997462,-71015.734599999996135,0.000000000000000
42,43.000000000000000,-14856.007100000002538,-71015.734599999996135,143.992899999997462,-86015.734599999996135,2.000000000000000
43,44.000000000000000,-14856.007100000002538,-86015.734599999996135,143.992899999997462,-101015.734599999996135,0.000000000000000
44,45.000000000000000,-14856.007100000002538,-101015.734599999996135,143.992899999997462,-116015.734599999996135,0.000000000000000
45,46.000000000000000,143.992899999997462,18984.265400000000227,15143.992899999997462,3984.265400000000227,0.000000000000000
46,47.000000000000000,143.992899999997462,3984.265400000000227,15143.992899999997462,-11015.734599999999773,11.000000000000000
47,48.000000000000000,143.992899999997462,-11015.734599999999773,15143.992899999997462,-26015.734599999999773,18.000000000000000
48,49.000000000000000,143.992899999997462,-26015.734599999999773,15143.992899999997462,-41015.734599999996135,5.000000000000000
49,50.000000000000000,143.992899999997462,-41015.734599999996135,15143.992899999997462,-56015.734599999996135,0.000000000000000
50,51.000000000000000,143.992899999997462,-56015.734599999996135,15143.992899999997462,-71015.734599999996135,0.000000000000000
51,52.000000000000000,143.992899999997462,-71015.734599999996135,15143.992899999997462,-86015.734599999996135,0.000000000000000
52,53.000000000000000,143.992899999997462,-86015.734599999996135,15143.992899999997462,-101015.734599999996135,0.000000000000000
53,54.000000000000000,143.992899999997462,-101015.734599999996135,15143.992899999997462,-116015.734599999996135,0.000000000000000
54,55.000000000000000,15143.992899999997462,18984.265400000000227,30143.992899999997462,3984.265400000000227,0.000000000000000
55,56.000000000000000,15143.992899999997462,3984.265400000000227,30143.992899999997462,-11015.734599999999773,1.000000000000000
56,57.000000000000000,15143.992899999997462,-11015.734599999999773,30143.992899999997462,-26015.734599999999773,1.000000000000000
57,58.000000000000000,15143.992899999997462,-26015.734599999999773,30143.992899999997462,-41015.734599999996135,0.000000000000000
58,59.000000000000000,15143.992899999997462,-41015.734599999996135,30143.992899999997462,-56015.734599999996135,0.000000000000000
59,60.000000000000000,15143.992899999997462,-56015.734599999996135,30143.992899999997462,-71015.734599999996135,0.000000000000000
60,61.000000000000000,15143.992899999997462,-71015.734599999996135,30143.992899999997462,-86015.734599999996135,0.000000000000000
61,62.000000000000000,15143.992899999997462,-86015.734599999996135,30143.992899999997462,-101015.734599999996135,0.000000000000000
62,63.000000000000000,15143.992899999997462,-101015.734599999996135,30143.992899999997462,-116015.734599999996135,0.000000000000000
