FID	id	left	top	right	bottom	NUMPOINTS	QuadradoDoNumPonto				
87	279	-19856,0071	3984,2654	-14856,0071	-1015,7346	6	36				
88	117	-54856,0071	-61015,7346	-49856,0071	-66015,7346	5	25				
89	348	-9856,0071	-91015,7346	-4856,0071	-96015,7346	0	0				
90	304	-14856,0071	3984,2654	-9856,0071	-1015,7346	1	1				
91	192	-39856,0071	-61015,7346	-34856,0071	-66015,7346	2	4				
92	40	-69856,0071	-51015,7346	-64856,0071	-56015,7346	6	36				
93	429	10143,9929	3984,2654	15143,9929	-1015,7346	5	25				
94	482	20143,9929	-11015,7346	25143,9929	-16015,7346	1	1				
95	120	-54856,0071	-76015,7346	-49856,0071	-81015,7346	5	25				
96	123	-54856,0071	-91015,7346	-49856,0071	-96015,7346	0	0				
97	507	25143,9929	-11015,7346	30143,9929	-16015,7346	0	0				
98	67	-64856,0071	-61015,7346	-59856,0071	-66015,7346	0	0				
99	39	-69856,0071	-46015,7346	-64856,0071	-51015,7346	1	1				
100	269	-24856,0071	-71015,7346	-19856,0071	-76015,7346	0	0				
101	284	-19856,0071	-21015,7346	-14856,0071	-26015,7346	11	121				
102	210	-34856,0071	-26015,7346	-29856,0071	-31015,7346	4	16				
103	137	-49856,0071	-36015,7346	-44856,0071	-41015,7346	7	49				
104	114	-54856,0071	-46015,7346	-49856,0071	-51015,7346	5	25				
105	332	-9856,0071	-11015,7346	-4856,0071	-16015,7346	3	9				
106	135	-49856,0071	-26015,7346	-44856,0071	-31015,7346	7	49				
107	129	-49856,0071	3984,2654	-44856,0071	-1015,7346	0	0				
108	359	-4856,0071	-21015,7346	143,9929	-26015,7346	10	100				
109	247	-29856,0071	-86015,7346	-24856,0071	-91015,7346	1	1				
110	204	-34856,0071	3984,2654	-29856,0071	-1015,7346	13	169				
111	374	-4856,0071	-96015,7346	143,9929	-101015,7346	0	0				
112	212	-34856,0071	-36015,7346	-29856,0071	-41015,7346	3	9				
113	305	-14856,0071	-1015,7346	-9856,0071	-6015,7346	13	169				
114	238	-29856,0071	-41015,7346	-24856,0071	-46015,7346	2	4				
115	236	-29856,0071	-31015,7346	-24856,0071	-36015,7346	2	4				
116	288	-19856,0071	-41015,7346	-14856,0071	-46015,7346	0	0				
117	323	-14856,0071	-91015,7346	-9856,0071	-96015,7346	0	0				
118	234	-29856,0071	-21015,7346	-24856,0071	-26015,7346	13	169				
119	10	-74856,0071	-26015,7346	-69856,0071	-31015,7346	1	1				
120	107	-54856,0071	-11015,7346	-49856,0071	-16015,7346	0	0				
121	60	-64856,0071	-26015,7346	-59856,0071	-31015,7346	5	25				
122	216	-34856,0071	-56015,7346	-29856,0071	-61015,7346	1	1				
123	69	-64856,0071	-71015,7346	-59856,0071	-76015,7346	1	1				
124	13	-74856,0071	-41015,7346	-69856,0071	-46015,7346	1	1				
125	144	-49856,0071	-71015,7346	-44856,0071	-76015,7346	0	0				
126	316	-14856,0071	-56015,7346	-9856,0071	-61015,7346	0	0				
127	233	-29856,0071	-16015,7346	-24856,0071	-21015,7346	9	81				
128	280	-19856,0071	-1015,7346	-14856,0071	-6015,7346	2	4				
129	481	20143,9929	-6015,7346	25143,9929	-11015,7346	1	1				
130	244	-29856,0071	-71015,7346	-24856,0071	-76015,7346	7	49				
131	231	-29856,0071	-6015,7346	-24856,0071	-11015,7346	10	100				
132	273	-24856,0071	-91015,7346	-19856,0071	-96015,7346	0	0				
133	254	-24856,0071	3984,2654	-19856,0071	-1015,7346	5	25				
134	168	-44856,0071	-66015,7346	-39856,0071	-71015,7346	5	25				
135	45	-69856,0071	-76015,7346	-64856,0071	-81015,7346	0	0				
136	361	-4856,0071	-31015,7346	143,9929	-36015,7346	2	4				
137	63	-64856,0071	-41015,7346	-59856,0071	-46015,7346	11	121				
138	130	-49856,0071	-1015,7346	-44856,0071	-6015,7346	6	36				
139	228	-29856,0071	8984,2654	-24856,0071	3984,2654	7	49				
140	194	-39856,0071	-71015,7346	-34856,0071	-76015,7346	3	9				
141	221	-34856,0071	-81015,7346	-29856,0071	-86015,7346	0	0				
142	183	-39856,0071	-16015,7346	-34856,0071	-21015,7346	8	64				
143	308	-14856,0071	-16015,7346	-9856,0071	-21015,7346	2	4				
144	255	-24856,0071	-1015,7346	-19856,0071	-6015,7346	3	9				
145	122	-54856,0071	-86015,7346	-49856,0071	-91015,7346	3	9				
146	93	-59856,0071	-66015,7346	-54856,0071	-71015,7346	1	1				
147	180	-39856,0071	-1015,7346	-34856,0071	-6015,7346	6	36				
148	412	5143,9929	-36015,7346	10143,9929	-41015,7346	2	4				
149	169	-44856,0071	-71015,7346	-39856,0071	-76015,7346	0	0				
150	186	-39856,0071	-31015,7346	-34856,0071	-36015,7346	5	25				
151	227	-29856,0071	13984,2654	-24856,0071	8984,2654	3	9				
152	311	-14856,0071	-31015,7346	-9856,0071	-36015,7346	0	0				
153	248	-29856,0071	-91015,7346	-24856,0071	-96015,7346	2	4				
154	267	-24856,0071	-61015,7346	-19856,0071	-66015,7346	0	0				
155	262	-24856,0071	-36015,7346	-19856,0071	-41015,7346	3	9				
156	66	-64856,0071	-56015,7346	-59856,0071	-61015,7346	5	25				
157	338	-9856,0071	-41015,7346	-4856,0071	-46015,7346	0	0				
158	349	-9856,0071	-96015,7346	-4856,0071	-101015,7346	0	0				
159	179	-39856,0071	3984,2654	-34856,0071	-1015,7346	3	9				
160	181	-39856,0071	-6015,7346	-34856,0071	-11015,7346	0	0				
161	111	-54856,0071	-31015,7346	-49856,0071	-36015,7346	3	9				
162	172	-44856,0071	-86015,7346	-39856,0071	-91015,7346	2	4				
163	109	-54856,0071	-21015,7346	-49856,0071	-26015,7346	13	169				
164	50	-69856,0071	-101015,7346	-64856,0071	-106015,7346	3	9				
165	41	-69856,0071	-56015,7346	-64856,0071	-61015,7346	0	0				
166	321	-14856,0071	-81015,7346	-9856,0071	-86015,7346	1	1				
167	388	143,9929	-41015,7346	5143,9929	-46015,7346	0	0				
168	357	-4856,0071	-11015,7346	143,9929	-16015,7346	8	64				
169	265	-24856,0071	-51015,7346	-19856,0071	-56015,7346	1	1				
170	263	-24856,0071	-41015,7346	-19856,0071	-46015,7346	0	0				
171	142	-49856,0071	-61015,7346	-44856,0071	-66015,7346	1	1				
172	112	-54856,0071	-36015,7346	-49856,0071	-41015,7346	6	36				
173	433	10143,9929	-16015,7346	15143,9929	-21015,7346	0	0				
174	286	-19856,0071	-31015,7346	-14856,0071	-36015,7346	0	0				
175	271	-24856,0071	-81015,7346	-19856,0071	-86015,7346	0	0				
176	256	-24856,0071	-6015,7346	-19856,0071	-11015,7346	13	169				
177	333	-9856,0071	-16015,7346	-4856,0071	-21015,7346	6	36				
178	428	10143,9929	8984,2654	15143,9929	3984,2654	0	0				
179	178	-39856,0071	8984,2654	-34856,0071	3984,2654	0	0				
180	37	-69856,0071	-36015,7346	-64856,0071	-41015,7346	8	64				
181	363	-4856,0071	-41015,7346	143,9929	-46015,7346	0	0				
182	330	-9856,0071	-1015,7346	-4856,0071	-6015,7346	0	0				
183	153	-44856,0071	8984,2654	-39856,0071	3984,2654	2	4				
184	143	-49856,0071	-66015,7346	-44856,0071	-71015,7346	13	169				
185	125	-54856,0071	-101015,7346	-49856,0071	-106015,7346	0	0				
186	75	-64856,0071	-101015,7346	-59856,0071	-106015,7346	0	0				
187	38	-69856,0071	-41015,7346	-64856,0071	-46015,7346	6	36				
188	235	-29856,0071	-26015,7346	-24856,0071	-31015,7346	4	16				
189	430	10143,9929	-1015,7346	15143,9929	-6015,7346	0	0				
190	281	-19856,0071	-6015,7346	-14856,0071	-11015,7346	10	100				
191	138	-49856,0071	-41015,7346	-44856,0071	-46015,7346	1	1				
192	345	-9856,0071	-76015,7346	-4856,0071	-81015,7346	0	0				
193	372	-4856,0071	-86015,7346	143,9929	-91015,7346	0	0				
194	99	-59856,0071	-96015,7346	-54856,0071	-101015,7346	0	0				
195	384	143,9929	-21015,7346	5143,9929	-26015,7346	1	1				
196	157	-44856,0071	-11015,7346	-39856,0071	-16015,7346	2	4				
197	49	-69856,0071	-96015,7346	-64856,0071	-101015,7346	6	36				
198	386	143,9929	-31015,7346	5143,9929	-36015,7346	1	1				
199	73	-64856,0071	-91015,7346	-59856,0071	-96015,7346	2	4				
200	124	-54856,0071	-96015,7346	-49856,0071	-101015,7346	0	0				
